Fecha,Encuesta,Estrato,Sexo,Edad,Nivel Educativo,Cantidad de Integrantes en el Hogar,Imagen del Candidato,Voto,Voto Anterior
2024-03-11,ENC-2024-03-001,ba,varon,29,Secundario completo,6,38,Candidato A,Candidato B
2024-03-12,ENC-2024-03-002,sal,mu,17,Universitario completo,1,75,Candidato A,Candidato C
2024-03-12,ENC-2024-03-003,chac,fem,29,Secundario completo,5,71,Candidato A,Candidato B
2024-03-11,ENC-2024-03-004,cord,fem,51,Universitario incompleto,6,35,Candidato A,Candidato B
2024-03-11,ENC-2024-03-005,caba,mu,22,Secundario incompleto,1,85,Candidato A,Candidato B
2024-03-10,ENC-2024-03-006,ba,fem,29,Secundario incompleto,5,50,Candidato B,Candidato C
2024-03-10,ENC-2024-03-007,chac,hombre,51,Universitario incompleto,6,57,Candidato B,Candidato C
2024-03-10,ENC-2024-03-008,sta fe,varon,72,Secundario incompleto,1,38,Candidato A,Candidato B
2024-03-11,ENC-2024-03-009,tucu,mu,25,Secundario completo,3,79,Candidato C,Candidato A
2024-03-10,ENC-2024-03-010,mza,masc,22,Secundario incompleto,3,55,Candidato C,Candidato A
2024-03-11,ENC-2024-03-011,caba,varon,25,Universitario completo,1,49,Candidato A,Candidato C
2024-03-12,ENC-2024-03-012,caba,mu,43,Secundario incompleto,3,56,Candidato A,Candidato A
2024-03-12,ENC-2024-03-013,neuquén,varon,37,Secundario incompleto,1,60,Candidato A,Candidato C
2024-03-11,ENC-2024-03-014,sal,fem,30,Secundario incompleto,6,73,Candidato A,Candidato A
2024-03-12,ENC-2024-03-015,chac,varon,,Secundario completo,1,81,Candidato A,Candidato A
2024-03-12,ENC-2024-03-016,sta fe,fem,43,Secundario completo,1,55,Candidato C,Candidato C
